Habitat,Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration,Genus_species,Months,DHW
RT,RT1,5m,909,Pocillopora_meandrina_7,87.79,5.68,82.11,6.469985192,Pocillopora_meandrina,0,1.440847969
RT,RT10,0m,909,Acropora_hyacinthus_1,32.04,0.22,31.82,0.686641698,Acropora_hyacinthus,0,1.440847969
RT,RT10,10m,909,Pocillopora_damicornis_1,7.83,6.16,1.67,78.67177522,Pocillopora_damicornis,0,1.440847969
RT,RT10,30m,909,Pavona_clavus_1,48.48,0,48.48,0,Pavona_clavus,0,1.440847969
RT,RT10,35m,909,Astreopora_myriophthalma_1,112.38,34.22,78.16,30.45025805,Astreopora_myriophthalma,0,1.440847969
RT,RT10,40m,909,Acropora_cerealis_1,315.42,4.72,310.7,1.496417475,Acropora_cerealis,0,1.440847969
RT,RT10,5m,909,Pocillopora_damicornis_2,75.41,0,75.41,0,Pocillopora_damicornis,0,1.440847969
RT,RT10,5m,909,Pocillopora_damicornis_3,4.95,0.26,4.69,5.252525253,Pocillopora_damicornis,0,1.440847969
RT,RT13,10m,909,Pocillopora_damicornis_1,13.87,0,13.87,0,Pocillopora_damicornis,0,1.440847969
RT,RT13,10m,909,Pocillopora_damicornis_2,75.55,2.55,73,3.37524818,Pocillopora_damicornis,0,1.440847969
RT,RT13,20m,909,Acropora_hyacinthus_1,59.75,0.7,59.05,1.171548117,Acropora_hyacinthus,0,1.440847969
RT,RT13,20m,909,Acropora_hyacinthus_3,51.96,0.02,51.94,0.038491147,Acropora_hyacinthus,0,1.440847969
RT,RT13,20m,909,Pocillopora_damicornis_1,9.57,0,9.57,0,Pocillopora_damicornis,0,1.440847969
RT,RT13,25m,909,Pocillopora_damicornis_1,120.53,17.59,102.94,14.59387704,Pocillopora_damicornis,0,1.440847969
RT,RT13,25m,909,Pocillopora_damicornis_2,106.36,1.53,104.83,1.438510718,Pocillopora_damicornis,0,1.440847969
RT,RT13,30m,909,Astreopora_myriophthalma_1,294.45,3.59,290.86,1.219222279,Astreopora_myriophthalma,0,1.440847969
RT,RT13,30m,909,Favites_pentagona_1,332.57,0.64,331.93,0.192440689,Favites_pentagona,0,1.440847969
