Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration
FR3,25m,1109,Porites_arnaudi_1,699.03,50.02,649.01,7.155629944
FR3,25m,1109,Porites_superfusa,87.22,1.87,85.35,2.144003669
FR3,25m,1206,Astrea_curta_1,19.75,1.77,17.98,8.962025316
FR3,25m,1206,Favites_pentagona_1,270.55,0,270.55,0
FR3,25m,1206,Fungia_spp.,6.73,0,6.73,0
FR3,25m,1206,Goniastrea_stelligera_1,81.74,20.4,61.34,24.95718131
FR3,25m,1206,Goniastrea_stelligera_2,345.9,88.41,257.49,25.55941023
FR3,25m,1206,Goniastrea_stelligera_3,244.83,70.81,174.02,28.92210922
FR3,25m,1206,Goniastrea_stelligera_9,55.47,0,55.47,0
FR3,25m,1206,Pavona_chiriquiensis,44.35,0,44.35,0
FR3,25m,1206,Pavona_duerdeni_1,577.25,190.79,386.46,33.05153746
FR3,25m,1206,Pocillopora_meandrina_2,318.05,58.58,259.47,18.41848766
FR3,25m,1206,Pocillopora_meandrina_3,226.28,62.73,163.55,27.72229097
FR3,25m,1206,Pocillopora_meandrina_4,3.5,2.09,1.41,59.71428571
FR3,25m,1206,Porites_arnaudi_1,939.02,479.37,459.65,51.05003088
FR3,25m,1206,Porites_superfusa,109.24,32.96,76.28,30.17209813
FR3,25m,1209,Astrea_curta_1,35.64,1.08,34.56,3.03030303
FR3,25m,1209,Favites_abdita_3,65.19,3.94,61.25,6.043871759
FR3,25m,1209,Favites_pentagona_1,277.33,0.03,277.3,0.010817438
FR3,25m,1209,Fungia_spp.,48.17,4.07,44.1,8.449242267
FR3,25m,1209,Goniastrea_stelligera_1,165.45,3.49,161.96,2.10939861
FR3,25m,1209,Goniastrea_stelligera_2,416.9,53.91,362.99,12.93115855
FR3,25m,1209,Goniastrea_stelligera_3,316.92,38.51,278.41,12.15133157
FR3,25m,1209,Pavona_chiriquiensis,62.15,2.27,59.88,3.652453741
FR3,25m,1209,Pavona_duerdeni_1,280.83,55.11,225.72,19.6239718
FR3,25m,1209,Pocillopora_meandrina_2,356.83,3.05,353.78,0.85474876
FR3,25m,1209,Pocillopora_meandrina_3,310.54,30.71,279.83,9.889225221
FR3,25m,1209,Pocillopora_meandrina_4,7.38,3.96,3.42,53.65853659
FR3,25m,1209,Pocillopora_meandrina_5,12.06,1.02,11.04,8.457711443
FR3,25m,1209,Pocillopora_meandrina_6,30.88,1.72,29.16,5.569948187
FR3,25m,1209,Pocillopora_meandrina_7,14.1,0,14.1,0
FR3,25m,1209,Porites_arnaudi_1,599.84,8.68,591.16,1.447052547
FR3,25m,1209,Porites_superfusa,129.94,36.61,93.33,28.1745421
FR3,25m,1307,Astrea_curta_1,37.96,0.04,37.92,0.105374078
FR3,25m,1307,Favites_abdita_3,37.16,4.82,32.34,12.97093649
FR3,25m,1307,Favites_abdita_4,21.22,0,21.22,0
FR3,25m,1307,Favites_pentagona_1,198.22,0.42,197.8,0.211885783
FR3,25m,1307,Favites_pentagona_5,100.08,0,100.08,0
FR3,25m,1307,Fungia_spp.,45.68,12.79,32.89,27.99912434
FR3,25m,1307,Goniastrea_stelligera_1,51.88,0.42,51.46,0.809560524
